### Cluster 50 — Symptoms (107)
Symptom,Frequency 
shoulder pain worse from motion,hip pain extending to thigh,1.0,1
shoulder pain worse from motion,painful sensation as if hat band were too tight,1.0,1
shoulder pain worse from motion,tearing in fingers of left hand,1.0,1
shoulder pain worse from motion,bone pain painful on pressure,1.0,1
shoulder pain worse from motion,complementary with kali carb.,1.0,1
sense of constriction in thigh,burning in limbs,1.0,1
sense of constriction in thigh,rheumatic drawing from loins to coccyx,1.0,1
sense of constriction in thigh,drawing tearing in left arm from elbow to hand,1.0,1
sense of constriction in thigh,hip pain extending to sacrum,1.0,1
sense of constriction in thigh,prickling stitches in fingers,1.0,1
sense of constriction in thigh,toes swollen,1.0,1
sense of constriction in thigh,hand pain worse in windy weather,1.0,1
sense of constriction in thigh,shoulder pain worse in morning,1.0,1
sense of constriction in thigh,tension in thigh in morning,1.0,1
sense of constriction in thigh,pains when beginning to walk,1.0,1
sense of constriction in thigh,prostrated with rheumatic pains,1.0,1
sense of constriction in thigh,great hoarseness,1.0,1
sense of constriction in thigh,drawing in limbs,1.0,1
sense of constriction in thigh,elbow pain worse by touch,1.0,1
sense of constriction in thigh,tearing in right thigh,1.0,1
sense of constriction in thigh,burning about scapulae,1.0,1
sense of constriction in thigh,cold limbs,1.0,1
sense of constriction in thigh,left thigh pain when lifting it,1.0,1
sense of constriction in thigh,stitches in ankle joint,1.0,1
sense of constriction in thigh,paralytic weakness of right arm,1.0,1
sense of constriction in thigh,cramps in calves at night,1.0,1
sense of constriction in thigh,stiffness of thigh on standing,1.0,1
sense of constriction in thigh,tearing in either wrist,1.0,1
sense of constriction in thigh,pain in scapular region,1.0,1
sense of constriction in thigh,patients with lost vital forces from fluid loss,1.0,1
sense of constriction in thigh,back pain worse on stooping,1.0,1
sense of constriction in thigh,burning in joints of fingers,1.0,1
sense of constriction in thigh,cramp-like tension in shoulders,1.0,1
sense of constriction in thigh,drawing pain in nape up into head,1.0,1
sense of constriction in thigh,unable to sit,1.0,1
sense of constriction in thigh,cramps in lower leg when walking,1.0,1
sense of constriction in thigh,limbs go to sleep easily,1.0,1
sense of constriction in thigh,leg stiffness especially on first beginning to walk,1.0,1
sense of constriction in thigh,aching along spine,1.0,1
sense of constriction in thigh,paralytic pains in knees,1.0,1
sense of constriction in thigh,drawing pain in hip joints,1.0,1
sense of constriction in thigh,hat band sensation remains after hat removed,1.0,1
sense of constriction in thigh,bruised pain in elbow joints,1.0,1
sense of constriction in thigh,stiffness of back,1.0,1
sense of constriction in thigh,aching pain from loins to coccyx,1.0,1
sense of constriction in thigh,cramps in soles evenings after lying down,1.0,1
sense of constriction in thigh,burning on scapula,1.0,1
sense of constriction in thigh,boring in joints of fingers,1.0,1
sense of constriction in thigh,fingers drawn out of shape,1.0,1
sense of constriction in thigh,drawing in shafts of bones,1.0,1
sense of constriction in thigh,drawing pain in back,1.0,1
sense of constriction in thigh,drawing in joints of fingers,1.0,1
sense of constriction in thigh,burning about hips,1.0,1
sense of constriction in thigh,stitches in right great toe,1.0,1
sense of constriction in thigh,pinching pressing pain in lower spine,1.0,1
sense of constriction in thigh,tearing beneath hip,1.0,1
sense of constriction in thigh,spine is bent,1.0,1
sense of constriction in thigh,toe pain worse when walking,1.0,1
sense of constriction in thigh,pressing pain beneath coccyx,1.0,1
sense of constriction in thigh,roughness of voice,1.0,1
sense of constriction in thigh,tension in knees on waking,1.0,1
sense of constriction in thigh,boring in fingers,1.0,1
sense of constriction in thigh,burning in thigh,1.0,1
sense of constriction in thigh,rheumatic drawing in back,1.0,1
sense of constriction in thigh,stitches in patella on rising,1.0,1
sense of constriction in thigh,burning on right shoulder,1.0,1
sense of constriction in thigh,toes stinging,1.0,1
sense of constriction in thigh,drawing rheumatic pains in right shoulder,1.0,1
sense of constriction in thigh,tearing in hip,1.0,1
sense of constriction in thigh,voice almost fails at times,1.0,1
sense of constriction in thigh,sensation as if tendons of wrist were shortened,1.0,1
sense of constriction in thigh,pains at every weather change,1.0,1
sense of constriction in thigh,sensation of stiffness in legs after sleep in evening,1.0,1
sense of constriction in thigh,prickling stitches in joints of fingers,1.0,1
sense of constriction in thigh,cold knees,1.0,1
sense of constriction in thigh,shoulder pain worse from motion,1.0,1
sense of constriction in thigh,tearing in right hip,1.0,1
sense of constriction in thigh,drawing in arm on which he lies at night,1.0,1
sense of constriction in thigh,boring pains in limbs,1.0,1
sense of constriction in thigh,pressing cramp-like pain in small of back,1.0,1
sense of constriction in thigh,stitches in shoulders,1.0,1
sense of constriction in thigh,lancinating pain in wrists when grasping,1.0,1
sense of constriction in thigh,sensation of plug in back,1.0,1
sense of constriction in thigh,sensation as if tendons of hand were shortened,1.0,1
sense of constriction in thigh,sprained pain in right hand,1.0,1
sense of constriction in thigh,back pain worse on sitting,1.0,1
sense of constriction in thigh,drawing in thigh,1.0,1
sense of constriction in thigh,lack of strength in knees,1.0,1
sense of constriction in thigh,cramp-like pain on outside of left thigh,1.0,1
sense of constriction in thigh,knees go to sleep,1.0,1
sense of constriction in thigh,pain in joints of hands,1.0,1
sense of constriction in thigh,drawing pain from abdomen down into leg,1.0,1
sense of constriction in thigh,great depression of vital forces,1.0,1
sense of constriction in thigh,arms weary when writing,1.0,1
sense of constriction in thigh,burning in fingers,1.0,1
sense of constriction in thigh,limbs go to sleep,1.0,1
sense of constriction in thigh,burning in bones,1.0,1
sense of constriction in thigh,heartburn very persistent,1.0,1
sense of constriction in thigh,thigh stitches passing downward when walking,1.0,1
sense of constriction in thigh,stiffness of nape,1.0,1
sense of constriction in thigh,paralytic weakness of right shoulder,1.0,1
sense of constriction in thigh,great inclination to stretch limbs in evening,1.0,1
sense of constriction in thigh,stitches in thigh,1.0,1
sense of constriction in thigh,limbs are bruised,1.0,1
sense of constriction in thigh,severe nosebleed almost daily,1.0,1
sense of constriction in thigh,toes red,1.0,1
sense of constriction in thigh,hip pain extending to thigh,1.0,1
sense of constriction in thigh,painful sensation as if hat band were too tight,1.0,1
sense of constriction in thigh,tearing in fingers of left hand,1.0,1
sense of constriction in thigh,bone pain painful on pressure,1.0,1
sense of constriction in thigh,complementary with kali carb.,1.0,1
lancinating pain in wrists when grasping,burning in limbs,1.0,1
lancinating pain in wrists when grasping,rheumatic drawing from loins to coccyx,1.0,1
lancinating pain in wrists when grasping,drawing tearing in left arm from elbow to hand,1.0,1
lancinating pain in wrists when grasping,hip pain extending to sacrum,1.0,1
lancinating pain in wrists when grasping,prickling stitches in fingers,1.0,1
lancinating pain in wrists when grasping,toes swollen,1.0,1
lancinating pain in wrists when grasping,hand pain worse in windy weather,1.0,1
lancinating pain in wrists when grasping,shoulder pain worse in morning,1.0,1
lancinating pain in wrists when grasping,tension in thigh in morning,1.0,1
lancinating pain in wrists when grasping,pains when beginning to walk,1.0,1
lancinating pain in wrists when grasping,prostrated with rheumatic pains,1.0,1
lancinating pain in wrists when grasping,great hoarseness,1.0,1
lancinating pain in wrists when grasping,drawing in limbs,1.0,1
lancinating pain in wrists when grasping,sense of constriction in thigh,1.0,1
lancinating pain in wrists when grasping,elbow pain worse by touch,1.0,1
lancinating pain in wrists when grasping,tearing in right thigh,1.0,1
lancinating pain in wrists when grasping,burning about scapulae,1.0,1
lancinating pain in wrists when grasping,cold limbs,1.0,1
lancinating pain in wrists when grasping,left thigh pain when lifting it,1.0,1
lancinating pain in wrists when grasping,stitches in ankle joint,1.0,1
lancinating pain in wrists when grasping,paralytic weakness of right arm,1.0,1
lancinating pain in wrists when grasping,cramps in calves at night,1.0,1
lancinating pain in wrists when grasping,stiffness of thigh on standing,1.0,1
lancinating pain in wrists when grasping,tearing in either wrist,1.0,1
lancinating pain in wrists when grasping,pain in scapular region,1.0,1
lancinating pain in wrists when grasping,patients with lost vital forces from fluid loss,1.0,1
lancinating pain in wrists when grasping,back pain worse on stooping,1.0,1
lancinating pain in wrists when grasping,burning in joints of fingers,1.0,1
lancinating pain in wrists when grasping,cramp-like tension in shoulders,1.0,1
lancinating pain in wrists when grasping,drawing pain in nape up into head,1.0,1
lancinating pain in wrists when grasping,unable to sit,1.0,1
lancinating pain in wrists when grasping,cramps in lower leg when walking,1.0,1
lancinating pain in wrists when grasping,limbs go to sleep easily,1.0,1
lancinating pain in wrists when grasping,leg stiffness especially on first beginning to walk,1.0,1
lancinating pain in wrists when grasping,aching along spine,1.0,1
lancinating pain in wrists when grasping,paralytic pains in knees,1.0,1
lancinating pain in wrists when grasping,drawing pain in hip joints,1.0,1
lancinating pain in wrists when grasping,hat band sensation remains after hat removed,1.0,1
lancinating pain in wrists when grasping,bruised pain in elbow joints,1.0,1
lancinating pain in wrists when grasping,stiffness of back,1.0,1
lancinating pain in wrists when grasping,aching pain from loins to coccyx,1.0,1
lancinating pain in wrists when grasping,cramps in soles evenings after lying down,1.0,1
lancinating pain in wrists when grasping,burning on scapula,1.0,1
lancinating pain in wrists when grasping,boring in joints of fingers,1.0,1
lancinating pain in wrists when grasping,fingers drawn out of shape,1.0,1
lancinating pain in wrists when grasping,drawing in shafts of bones,1.0,1
lancinating pain in wrists when grasping,drawing pain in back,1.0,1
lancinating pain in wrists when grasping,drawing in joints of fingers,1.0,1
lancinating pain in wrists when grasping,burning about hips,1.0,1
lancinating pain in wrists when grasping,stitches in right great toe,1.0,1
lancinating pain in wrists when grasping,pinching pressing pain in lower spine,1.0,1
lancinating pain in wrists when grasping,tearing beneath hip,1.0,1
lancinating pain in wrists when grasping,spine is bent,1.0,1
lancinating pain in wrists when grasping,toe pain worse when walking,1.0,1
lancinating pain in wrists when grasping,pressing pain beneath coccyx,1.0,1
lancinating pain in wrists when grasping,roughness of voice,1.0,1
lancinating pain in wrists when grasping,tension in knees on waking,1.0,1
lancinating pain in wrists when grasping,boring in fingers,1.0,1
lancinating pain in wrists when grasping,burning in thigh,1.0,1
lancinating pain in wrists when grasping,rheumatic drawing in back,1.0,1
lancinating pain in wrists when grasping,stitches in patella on rising,1.0,1
lancinating pain in wrists when grasping,burning on right shoulder,1.0,1
lancinating pain in wrists when grasping,toes stinging,1.0,1
lancinating pain in wrists when grasping,drawing rheumatic pains in right shoulder,1.0,1
lancinating pain in wrists when grasping,tearing in hip,1.0,1
lancinating pain in wrists when grasping,voice almost fails at times,1.0,1
lancinating pain in wrists when grasping,sensation as if tendons of wrist were shortened,1.0,1
lancinating pain in wrists when grasping,pains at every weather change,1.0,1
lancinating pain in wrists when grasping,sensation of stiffness in legs after sleep in evening,1.0,1
lancinating pain in wrists when grasping,prickling stitches in joints of fingers,1.0,1
lancinating pain in wrists when grasping,cold knees,1.0,1
lancinating pain in wrists when grasping,shoulder pain worse from motion,1.0,1
lancinating pain in wrists when grasping,tearing in right hip,1.0,1
lancinating pain in wrists when grasping,drawing in arm on which he lies at night,1.0,1
lancinating pain in wrists when grasping,boring pains in limbs,1.0,1
lancinating pain in wrists when grasping,pressing cramp-like pain in small of back,1.0,1
lancinating pain in wrists when grasping,stitches in shoulders,1.0,1
